State Code, State, Population
01,Jammu & Kashmir,12541302
02,Himachal Pradesh,6864602
03,Punjab,27743338
04,Chandigarh,1055450
05,Uttarakhand,10086292
06,Haryana,25351462
07,NCT Of Delhi,16787941
08,Rajasthan,68548437
09,Uttar Pradesh,199812341
10,Bihar,104099452
11,Sikkim,610577
12,Arunachal Pradesh,1383727
13,Nagaland,1978502
14,Manipur,2855794
15,Mizoram,1097206
16,Tripura,3673917
17,Meghalaya,2966889
18,Assam,31205576
19,West Bengal,91276115
20,Jharkhand,32988134
21,Odisha,41974218
22,Chhattisgarh,25545198
23,Madhya Pradesh,72626809
24,Gujarat,60439692
25,Daman & Diu,243247
26,Dadra & Nagar Haveli,343709
27,Maharashtra,112374333
28,Andhra Pradesh,84580777
29,Karnataka,61095297
30,Goa,1458545
31,Lakshadweep,64473
32,Kerala,33406061
33,Tamil Nadu,72147030
34,Puducherry,1247953
35,Andaman & Nicobar Islands,380581
